deploy_id,leg,date_start,date_stop,time_start,time_stop,fish_id
1,2014-07-28,2014-07-28,2014-07-28,10:00:11,10:04:40,20140728_4
2,2014-07-28,2014-07-28,2014-07-28,10:24:30,10:28:00,20140728_6
