2014-07-28  09:56:30,-8,0,288,997
2014-07-28  09:56:31,-6,0,286,1005
2014-07-28  09:56:32,-4,0,294,997
2014-07-28  09:56:33,-8,0,279,1008
2014-07-28  09:56:34,-6,0,292,1003
2014-07-28  09:56:35,-6,0,280,1009
2014-07-28  09:56:36,-6,0,310,991
2014-07-28  09:56:37,-7,0,295,1004
2014-07-28  09:56:38,-10,0,332,1008
2014-07-28  09:56:39,-6,0,319,1014
2014-07-28  09:56:40,0,45,355,1015
2014-07-28  09:56:41,3,0,322,1014
2014-07-28  09:56:42,-7,0,48,1004
2014-07-28  09:56:43,8,0,347,1015
2014-07-28  09:56:44,15,0,34,1013
2014-07-28  09:56:45,17,0,45,1011
2014-07-28  09:56:46,19,0,58,1006
2014-07-28  09:56:47,18,0,50,1016
2014-07-28  09:56:48,21,0,62,1010
2014-07-28  09:56:49,20,0,60,1010
2014-07-28  09:56:51,26,0,60,1014
2014-07-28  09:56:52,27,0,58,1012
2014-07-28  09:56:53,26,0,67,1012
2014-07-28  09:56:54,26,0,67,1011
2014-07-28  09:56:55,28,0,68,1009
2014-07-28  09:56:56,30,0,58,1015
2014-07-28  09:56:57,30,0,62,1004
2014-07-28  09:56:58,30,0,63,1008
2014-07-28  09:56:59,33,0,80,1011
2014-07-28  09:57:00,35,0,66,1006
2014-07-28  09:57:01,33,0,76,1007
2014-07-28  09:57:02,32,0,69,1011
2014-07-28  09:57:03,36,45,82,1009
2014-07-28  09:57:04,37,45,88,1002
2014-07-28  09:57:05,31,45,86,1003
2014-07-28  09:57:06,29,63,81,998
2014-07-28  09:57:07,30,63,83,996
2014-07-28  09:57:08,31,63,83,999
2014-07-28  09:57:09,28,63,81,998
2014-07-28  09:57:10,28,63,79,1000
2014-07-28  09:57:11,31,45,80,1004
2014-07-28  09:57:12,31,45,77,1005
2014-07-28  09:57:13,30,45,66,1011
2014-07-28  09:57:14,30,45,74,1008
2014-07-28  09:57:15,30,0,64,1008
2014-07-28  09:57:16,25,0,82,1007
2014-07-28  09:57:17,27,0,78,1007
2014-07-28  09:57:18,26,0,79,1006
2014-07-28  09:57:19,24,0,87,1006
2014-07-28  09:57:20,20,0,87,1006
2014-07-28  09:57:21,18,0,83,1008
2014-07-28  09:57:22,15,0,98,1004
2014-07-28  09:57:23,16,0,87,997
2014-07-28  09:57:24,11,0,100,1004
2014-07-28  09:57:25,6,0,95,999
2014-07-28  09:57:26,5,0,96,995
2014-07-28  09:57:27,5,0,94,998
2014-07-28  09:57:28,3,0,93,999
