"trackNb","sliceNb","imgNb","x","y"
1,1,1,214,208
1,2,2,229,217
1,3,3,225,249
1,4,4,221,264
1,5,5,218,272
1,6,6,240,277
1,7,7,238,289
1,8,8,240,298
1,9,9,241,299
1,10,10,246,302
1,11,11,251,308
1,12,12,248,310
1,13,13,250,310
1,14,14,259,317
1,15,15,268,325
1,16,16,278,330
1,17,17,286,342
1,18,18,322,344
