"trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle"
1,"raw",24,158.164937425444,5.01576056020112,5.96306660340775,1.62651454897762,0.0880690964436889,0.911930903556311,5.47068320324232e-09,TRUE,23,305.606451807862,53.8432604122353,0.315733358477113,0.30039753519599,0.844067479043986,0.155932520956014,0.576705520278572,FALSE,22,116.216876715248,0.909090909090909,23,0.372041037292321,0.219654597881909,0.340050046031303,0.134082889698161,0
1,"rotated",24,233.973644491764,4.51201174507189,7.23924805247135,2.00124910926496,0.0718332881821361,0.928166711817864,3.33468285159954e-09,TRUE,23,28.4844748505686,50.8403783049534,0.334633550379829,0.301077637117668,0.834981048159296,0.165018951840704,0.539623288047802,FALSE,22,115.44414944252,0.909090909090909,0,NA,NA,NA,NA,0
2,"raw",24,18.255050993282,7.81177222482159,2.81756539958051,0.701089008383242,0.203720343129994,0.796279656870006,9.39655230539154e-08,TRUE,23,68.71027476672,70.436907339042,0.240733782862751,0.298088791061408,0.880496581968468,0.119503418031532,0.724343282040931,FALSE,22,89.2858195383891,0.727272727272727,23,0.445238286650146,0.213862325452678,0.386486692745374,0.149564104294438,0
2,"rotated",24,94.631774226613,7.21932927619029,3.18878835678611,0.803586606706726,0.175983857867142,0.824016142132858,5.23652812789175e-08,TRUE,23,138.252365414439,82.2977490530605,0.205840477389624,0.297226935669952,0.897620988606442,0.102379011393558,0.789409861898751,FALSE,22,89.6040013565709,0.727272727272727,0,NA,NA,NA,NA,0
