"trackNb","sliceNb","imgNb","x","y","dateTime","dt","elapsed.min","heading","speed","cameraHeading","theta","rho","rotation","turnAngle"
1,1,1,3.87628977151828,-4.65979515086773,2014-07-28 10:02:14,5,0,0,0.0329897001831344,74.7429940888625,140.244338110715,6.061296333362,"raw",NA
1,2,2,3.87628977151829,-4.49484664995206,2014-07-28 10:02:19,5,0.0833333333333333,78.2317110679793,0.404376220623206,71.7429940888625,139.225998177958,5.93542490470248,"raw",78.2317110679793
1,3,3,1.89690776053022,-4.08247539766288,2014-07-28 10:02:24,10,0.166666666666667,NA,NA,68.7429940888625,155.078229477415,4.50165129974351,"raw",NA
1,5,5,2.63917601465075,-5.73196040681959,2014-07-28 10:02:34,5,0.333333333333333,97.5946433685914,0.249612375925974,72.7429940888625,155.277160447689,6.31035816270798,"raw",NA
1,6,6,1.40206225778321,-5.89690890773527,2014-07-28 10:02:39,5,0.416666666666667,22.8336541779175,0.340050046031303,68.7429940888625,166.625559535129,6.061296333362,"raw",-74.7609891906739
1,7,7,0.742268254120523,-4.32989814903638,2014-07-28 10:02:44,5,0.5,192.528807709152,0.152075003735585,69.7429940888625,170.272421448598,4.3930604528169,"raw",169.695153531234
1,8,8,0.907216755036193,-5.07216640315691,2014-07-28 10:02:49,5,0.583333333333333,7.76516601842533,0.366245108110448,71.7429940888625,169.859206853887,5.1526608914164,"raw",175.236358309274
1,9,9,0.659794003662688,-3.25773289308452,2014-07-28 10:02:54,5,0.666666666666667,177.56335175319,0.775959545356112,65.7429940888625,168.5506620115,3.32387601001512,"raw",169.798185734765
1,10,10,0.494845502747011,-7.1340226646028,2014-07-28 10:02:59,5,0.75,43.1523897340054,0.361760304981509,71.7429940888625,176.032081862013,7.15116434230506,"raw",-134.410962019184
1,11,11,-0.742268254120526,-5.81443465727743,2014-07-28 10:03:04,5,0.833333333333333,262.647620640108,0.515579516383049,74.7429940888625,187.275004957889,5.86162200630713,"raw",-140.504769093898
1,12,12,1.81443351007239,-6.14433165910877,2014-07-28 10:03:09,5,0.916666666666667,42.2736890060937,0.980854301751802,75.7429940888625,163.548023316346,6.40663566153094,"raw",139.626068365986
1,13,13,-1.48453650824105,-2.51546463896399,2014-07-28 10:03:14,5,1,343.300755766006,0.344422581548985,75.7429940888625,210.547571748907,2.92085792091618,"raw",-58.9729332400873
1,14,14,-0.989691005494031,-0.865979629807276,2014-07-28 10:03:19,5,1.08333333333333,202.249023657212,0.78415622153229,71.7429940888625,228.81407483429,1.31506996224419,"raw",-141.051732108794
1,15,15,0.494845502747017,-4.49484664995205,2014-07-28 10:03:24,5,1.16666666666667,319.763641690726,0.280897175257334,76.7429940888625,173.717507911839,4.52200381226887,"raw",117.514618033514
1,16,16,1.40206225778321,-3.42268139400019,2014-07-28 10:03:29,5,1.25,345.256437163529,0.324072384975492,73.7429940888625,157.724102151741,3.69871957568227,"raw",25.4927954728031
1,17,17,1.81443351007239,-1.85567063530131,2014-07-28 10:03:34,5,1.33333333333333,171.253837737445,0.43391175951332,80.7429940888625,135.643745714175,2.59531933857727,"raw",-174.002599426085
1,18,18,1.48453650824105,-4.00000114720504,2014-07-28 10:03:39,5,1.41666666666667,318.81407483429,0.175342661632559,81.7429940888625,159.638396724614,4.26659792128836,"raw",147.560237096846
1,19,19,2.0618562614459,-3.34020714354235,2014-07-28 10:03:44,5,1.5,251.565051177078,0.208645183809557,82.7429940888625,148.313632312143,3.92533247058577,"raw",-67.2490236572124
1,20,20,3.05154726693993,-3.6701041453737,2014-07-28 10:03:49,5,1.58333333333333,281.30993247402,0.252322687472066,83.7429940888625,140.257809168955,4.7730079782311,"raw",29.7448812969422
1,21,21,4.28866102380746,-3.42268139400019,2014-07-28 10:03:54,5,1.66666666666667,157.61986494804,0.30325412921447,83.7429940888625,128.592559717467,5.4870175233874,"raw",-123.69006752598
1,22,22,3.71134127060261,-4.8247436517834,2014-07-28 10:03:59,5,1.75,349.695153531234,0.368836060834128,81.7429940888625,142.431407971172,6.08705226955564,"raw",-167.924711416807
1,23,23,4.04123827243396,-3.01031014171101,2014-07-28 10:04:04,5,1.83333333333333,248.962488974578,0.459493353298587,83.7429940888625,126.682350755894,5.03920369938279,"raw",-100.732664556656
1,24,24,6.18556878433769,-3.83505264628937,2014-07-28 10:04:09,NA,1.91666666666667,NA,NA,86.7429940888625,121.798912824294,7.27797293108349,"raw",NA
1,1,1,-3.47551890252281,-4.96589182313049,2014-07-28 10:02:14,5,0,74.7429940888625,NA,74.7429940888625,214.987332199578,6.061296333362,"rotated",NA
1,2,2,-3.05421599776573,-5.08930579139772,2014-07-28 10:02:19,5,0.0833333333333333,149.974705156842,NA,71.7429940888625,210.968992266821,5.93542490470248,"rotated",75.2317110679793
1,3,3,-3.11699054447063,-3.24795849267861,2014-07-28 10:02:24,10,0.166666666666667,NA,NA,68.7429940888625,223.821223566277,4.50165129974351,"rotated",NA
