"origFile","dateTime","imgNb","file"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029809.JPG",2014-07-28 10:02:14,1,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/1.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029810.JPG",2014-07-28 10:02:19,2,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/2.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029811.JPG",2014-07-28 10:02:24,3,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/3.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029812.JPG",2014-07-28 10:02:29,4,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/4.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029813.JPG",2014-07-28 10:02:34,5,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/5.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029814.JPG",2014-07-28 10:02:39,6,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/6.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029815.JPG",2014-07-28 10:02:44,7,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/7.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029816.JPG",2014-07-28 10:02:49,8,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/8.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029817.JPG",2014-07-28 10:02:54,9,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/9.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029818.JPG",2014-07-28 10:02:59,10,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/10.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029819.JPG",2014-07-28 10:03:04,11,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/11.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029820.JPG",2014-07-28 10:03:09,12,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/12.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029821.JPG",2014-07-28 10:03:14,13,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/13.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029822.JPG",2014-07-28 10:03:19,14,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/14.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029823.JPG",2014-07-28 10:03:24,15,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/15.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029824.JPG",2014-07-28 10:03:29,16,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/16.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029825.JPG",2014-07-28 10:03:34,17,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/17.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029826.JPG",2014-07-28 10:03:39,18,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/18.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029827.JPG",2014-07-28 10:03:44,19,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/19.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029828.JPG",2014-07-28 10:03:49,20,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/20.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029829.JPG",2014-07-28 10:03:54,21,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/21.jpg"
"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/raw/2014-07-28/pics/133GOPRO/G0029830.JPG",2014-07-28 10:03:59,22,"/Users/jiho/Work/projects/ownfor/discusr/inst/extdata/deployments/1/pics/22.jpg"
